"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"573","Salix pulchra","Salix pulchra"
"574","Equisetum sylvaticum","Equisetum sylvaticum"
"575","Moehringia lateriflora","Moehringia lateriflora"
"576","Linnaea borealis","Linnaea borealis"
"577","Orthilia secunda","Orthilia secunda"
"578","Pedicularis lapponica","Pedicularis lapponica"
"579","Gymnocarpium dryopteris","Gymnocarpium dryopteris"
"580","Luzula rufescens","Luzula rufescens"
"581","Festuca altaica","Festuca altaica"
"582","Gymnocarpium robertianum","Gymnocarpium robertianum"
"583","Lycopodium dendroideum","Lycopodium dendroideum"
"584","Poa alpina","Poa alpina"
"585","Populus balsamifera","Populus balsamifera"
"586","Chamaedaphne calyculata","Chamaedaphne calyculata"
"587","Epilobium palustre","Epilobium palustre"
"588","Salix pseudomonticola","Salix pseudomonticola"
"589","Eriophorum vaginatum","Eriophorum vaginatum"
"590","Eriophorum angustifolium","Eriophorum angustifolium"
"591","Salix arbusculoides","Salix arbusculoides"
"592","Salix glauca","Salix glauca"
"593","Carex vaginata","Carex vaginata"
"594","Carex capitata","Carex capitata"
"595","Salix richardsonii","Salix richardsonii"
"596","Polygonum bistorta","Polygonum bistorta"
"597","Viburnum edule","Viburnum edule"
"598","Ribes triste","Ribes triste"
"599","Lathyrus japonicus","Lathyrus japonicus"
"600","Carex microchaeta","Carex microchaeta"
"601","Salix athabascensis","Salix athabascensis"
"602","Salix alaxensis","Salix alaxensis"
"603","Salix hastata","Salix hastata"
"604","Pyrola grandiflora","Pyrola grandiflora"
"605","Calamagrostis canadensis","Calamagrostis canadensis"
"606","Luzula divaricata","Luzula divaricata"
"607","Alnus incana","Alnus incana"
"608","Luzula multiflora","Luzula multiflora"
"609","Anemone richardsonii","Anemone richardsonii"
"610","Anemone narcissiflora","Anemone narcissiflora"
"611","Larix laricina","Larix laricina"
"612","Ranunculus lapponicus","Ranunculus lapponicus"
"613","Equisetum arvense","Equisetum arvense"
"614","Comarum palustre","Comarum palustre"
"615","Eriophorum scheuchzeri","Eriophorum scheuchzeri"
"616","Eriophorum russeolum","Eriophorum russeolum"
"617","Equisetum scirpoides","Equisetum scirpoides"
"618","Salix barclayi","Salix barclayi"
"619","Calamagrostis stricta","Calamagrostis stricta"
"620","Asclepias verticillata","Asclepias verticillata"
"621","Chamaecrista fasciculata","Chamaecrista fasciculata"
"622","Erigeron modestus","Erigeron modestus"
"623","Quercus stellata","Quercus stellata"
"624","Sabatia campestris","Sabatia campestris"
"625","Asclepias stenophylla","Asclepias stenophylla"
"626","Asclepias tuberosa","Asclepias tuberosa"
"627","Lechea tenuifolia","Lechea tenuifolia"
"628","Opuntia macrorhiza","Opuntia macrorhiza"
"629","Plantago virginica","Plantago virginica"
"630","Chaetopappa asteroides","Chaetopappa asteroides"
"631","Gaillardia aestivalis","Gaillardia aestivalis"
"632","Gymnopogon ambiguus","Gymnopogon ambiguus"
"633","Indigofera miniata","Indigofera miniata"
"634","Lechea mucronata","Lechea mucronata"
"635","Quercus marilandica","Quercus marilandica"
"636","Bassia scoparia","Bassia scoparia"
"637","Bouteloua curtipendula","Bouteloua curtipendula"
"638","Croton glandulosus","Croton glandulosus"
"639","Dalea purpurea","Dalea purpurea"
"640","Dichanthelium acuminatum","Dichanthelium acuminatum"
"641","Diodia teres","Diodia teres"
"642","Neptunia lutea","Neptunia lutea"
"643","Panicum hallii","Panicum hallii"
"644","Scleria ciliata","Scleria ciliata"
"645","Schizachyrium scoparium","Schizachyrium scoparium"
"646","Sorghastrum nutans","Sorghastrum nutans"
"647","Symphyotrichum patens","Symphyotrichum patens"
"648","Andropogon ternarius","Andropogon ternarius"
"649","Bouteloua hirsuta","Bouteloua hirsuta"
"650","Dichanthelium linearifolium","Dichanthelium linearifolium"
"651","Fimbristylis puberula","Fimbristylis puberula"
"652","Linum sulcatum","Linum sulcatum"
"653","Symphyotrichum ericoides","Symphyotrichum ericoides"
"654","Asclepias viridiflora","Asclepias viridiflora"
"655","Dichanthelium oligosanthes","Dichanthelium oligosanthes"
"656","Erigeron strigosus","Erigeron strigosus"
"657","Liatris mucronata","Liatris mucronata"
"658","Hypericum drummondii","Hypericum drummondii"
"659","Linum medium","Linum medium"
"660","Liatris punctata","Liatris punctata"
"661","Pyrrhopappus grandiflorus","Pyrrhopappus grandiflorus"
"662","Bothriochloa ischaemum","Bothriochloa ischaemum"
"663","Asclepias viridis","Asclepias viridis"
"664","Panicum virgatum","Panicum virgatum"
"665","Polygala incarnata","Polygala incarnata"
"666","Coelorachis cylindrica","Coelorachis cylindrica"
"667","Galactia volubilis","Galactia volubilis"
"668","Helianthemum georgianum","Helianthemum georgianum"
"669","Andropogon gerardii","Andropogon gerardii"
"670","Calylophus berlandieri","Calylophus berlandieri"
"671","Juncus interior","Juncus interior"
"672","Ambrosia psilostachya","Ambrosia psilostachya"
"673","Verbena halei","Verbena halei"
"674","Artemisia ludoviciana","Artemisia ludoviciana"
"675","Antennaria parlinii","Antennaria parlinii"
"676","Rudbeckia hirta","Rudbeckia hirta"
"677","Callirhoe involucrata","Callirhoe involucrata"
"678","Polygala verticillata","Polygala verticillata"
"679","Acalypha monococca","Acalypha monococca"
"680","Vulpia octoflora","Vulpia octoflora"
"681","Celtis laevigata","Celtis laevigata"
"682","Geranium carolinianum","Geranium carolinianum"
"683","Nuttallanthus texanus","Nuttallanthus texanus"
"684","Houstonia pusilla","Houstonia pusilla"
"685","Spermolepis echinata","Spermolepis echinata"
"686","Viola bicolor","Viola bicolor"
"687","Digitaria californica","Digitaria californica"
"688","Juncus marginatus","Juncus marginatus"
"689","Allium canadense","Allium canadense"
"690","Oenothera laciniata","Oenothera laciniata"
"691","Asclepias amplexicaulis","Asclepias amplexicaulis"
"692","Gypsoplaca macrophylla","Gypsoplaca macrophylla"
"693","Cirsium undulatum","Cirsium undulatum"
"694","Dalea aurea","Dalea aurea"
"695","Cocculus carolinus","Cocculus carolinus"
"696","Solanum dimidiatum","Solanum dimidiatum"
"697","Xanthisma texanum","Xanthisma texanum"
"698","Bothriochloa laguroides","Bothriochloa laguroides"
"699","Penstemon laxiflorus","Penstemon laxiflorus"
"700","Chrysopsis pilosa","Chrysopsis pilosa"
"701","Physalis cinerascens","Physalis cinerascens"
"702","Stenaria nigricans","Stenaria nigricans"
"703","Oldenlandia boscii","Oldenlandia boscii"
"704","Physalis longifolia","Physalis longifolia"
"705","Prunus mexicana","Prunus mexicana"
"706","Sideroxylon lanuginosum","Sideroxylon lanuginosum"
"707","Euphorbia dentata","Euphorbia dentata"
"708","Commelina erecta","Commelina erecta"
"709","Cyperus echinatus","Cyperus echinatus"
"710","Elymus canadensis","Elymus canadensis"
"711","Bouteloua gracilis","Bouteloua gracilis"
"712","Desmodium sessilifolium","Desmodium sessilifolium"
"713","Stylosanthes biflora","Stylosanthes biflora"
"714","Pediomelum rhombifolium","Pediomelum rhombifolium"
"715","Setaria parviflora","Setaria parviflora"
"716","Sporobolus compositus","Sporobolus compositus"
"717","Verbesina helianthoides","Verbesina helianthoides"
"718","Astranthium integrifolium","Astranthium integrifolium"
"719","Bromus tectorum","Bromus tectorum"
"720","Callicarpa americana","Callicarpa americana"
"721","Spermolepis inermis","Spermolepis inermis"
"722","Astranthium integrifolium","Astranthium integrifolium"
"723","Gamochaeta pensylvanica","Gamochaeta pensylvanica"
"724","Galium pilosum","Galium pilosum"
"725","Rudbeckia hirta","Rudbeckia hirta"
"726","Ulmus crassifolia","Ulmus crassifolia"
"727","Verbesina virginica","Verbesina virginica"
"728","Smilax bona-nox","Smilax bona-nox"
"729","Tradescantia ohiensis","Tradescantia ohiensis"
"730","Cyperus retroflexus","Cyperus retroflexus"
"731","Yucca arkansana","Yucca arkansana"
"732","Cornus drummondii","Cornus drummondii"
"733","Frangula caroliniana","Frangula caroliniana"
"734","Crataegus crus-galli","Crataegus crus-galli"
"735","Vernonia baldwinii","Vernonia baldwinii"
"736","Centaurea americana","Centaurea americana"
"737","Viburnum rufidulum","Viburnum rufidulum"
"738","Passiflora lutea","Passiflora lutea"
"739","Rubus oklahomus","Rubus oklahomus"
"740","Rosa setigera","Rosa setigera"
"741","Cercis canadensis","Cercis canadensis"
"742","Rosa arkansana","Rosa arkansana"
"743","Carya illinoinensis","Carya illinoinensis"
"744","Cnidoscolus texanus","Cnidoscolus texanus"
"745","Oxalis violacea","Oxalis violacea"
"746","Rhynchosia latifolia","Rhynchosia latifolia"
"747","Hypericum hypericoides","Hypericum hypericoides"
"748","Cirsium texanum","Cirsium texanum"
"749","Elephantopus tomentosus","Elephantopus tomentosus"
"750","Clitoria mariana","Clitoria mariana"
"751","Monarda fistulosa","Monarda fistulosa"
"752","Tragia betonicifolia","Tragia betonicifolia"
"753","Juncus inflexus","Juncus inflexus"
"754","Monarda citriodora","Monarda citriodora"
"755","Tragia ramosa","Tragia ramosa"
"756","Rhus glabra","Rhus glabra"
"757","Acalypha gracilens","Acalypha gracilens"
"758","Bidens frondosa","Bidens frondosa"
"759","Lactuca ludoviciana","Lactuca ludoviciana"
"760","Cissus trifoliata","Cissus trifoliata"
"761","Eupatorium serotinum","Eupatorium serotinum"
"762","Monarda punctata","Monarda punctata"
"763","Sporobolus cryptandrus","Sporobolus cryptandrus"
"764","Hordeum pusillum","Hordeum pusillum"
"765","Desmanthus illinoensis","Desmanthus illinoensis"
"766","Rhus copallinum","Rhus copallinum"
"767","Poncirus trifoliata","Poncirus trifoliata"
"768","Prunus munsoniana","Prunus munsoniana"
"769","Dichaetophora campestris","Dichaetophora campestris"
"770","Helenium amarum","Helenium amarum"
"771","Digitaria cognata","Digitaria cognata"
"772","Eragrostis intermedia","Eragrostis intermedia"
"773","Heterotheca subaxillaris","Heterotheca subaxillaris"
"774","Juncus nodatus","Juncus nodatus"
"775","Prunus angustifolia","Prunus angustifolia"
"776","Oligoneuron nitidum","Oligoneuron nitidum"
"777","Bothriochloa ischaemum","Bothriochloa ischaemum"
"778","Brickellia eupatorioides","Brickellia eupatorioides"
"779","Agrostis elliottiana","Agrostis elliottiana"
"780","Pyrrhopappus carolinianus","Pyrrhopappus carolinianus"
"781","Centaurium texense","Centaurium texense"
"782","Bothriochloa bladhii","Bothriochloa bladhii"
"783","Fimbristylis annua","Fimbristylis annua"
"784","Pediomelum linearifolium","Pediomelum linearifolium"
"785","Phemeranthus parviflorus","Phemeranthus parviflorus"
"786","Chloris verticillata","Chloris verticillata"
"787","Gaillardia suavis","Gaillardia suavis"
"788","Linum medium","Linum medium"
"789","Mimosa nuttallii","Mimosa nuttallii"
"790","Penstemon cobaea","Penstemon cobaea"
"791","Plantago aristata","Plantago aristata"
"792","Solidago missouriensis","Solidago missouriensis"
"793","Paronychia virginica","Paronychia virginica"
"794","Plantago patagonica","Plantago patagonica"
"795","Dalea enneandra","Dalea enneandra"
"796","Bothriochloa barbinodis","Bothriochloa barbinodis"
"797","Cyperus reflexus","Cyperus reflexus"
"798","Koeleria macrantha","Koeleria macrantha"
"799","Euphorbia bicolor","Euphorbia bicolor"
"800","Galium virgatum","Galium virgatum"
"801","Tetraneuris linearifolia","Tetraneuris linearifolia"
"802","Trisetum interruptum","Trisetum interruptum"
"803","Berlandiera betonicifolia","Berlandiera betonicifolia"
"804","Daucus pusillus","Daucus pusillus"
"805","Schedonnardus paniculatus","Schedonnardus paniculatus"
"806","Acacia angustissima","Acacia angustissima"
"807","Nassella leucotricha","Nassella leucotricha"
"808","Arenaria serpyllifolia","Arenaria serpyllifolia"
"809","Castilleja indivisa","Castilleja indivisa"
"810","Evax prolifera","Evax prolifera"
"811","Lotus unifoliolatus","Lotus unifoliolatus"
"812","Phyla nodiflora","Phyla nodiflora"
"813","Croton capitatus","Croton capitatus"
"814","Evolvulus nuttallianus","Evolvulus nuttallianus"
"815","Eragrostis pilosa","Eragrostis pilosa"
"816","Bothriochloa ischaemum","Bothriochloa ischaemum"
"817","Carex austrina","Carex austrina"
"818","Trifolium vesiculosum","Trifolium vesiculosum"
"819","Bouteloua rigidiseta","Bouteloua rigidiseta"
"820","Quercus ×inconstans","Quercus ×inconstans"
"821","Croton monanthogynus","Croton monanthogynus"
"822","Sarcosagium campestre","Sarcosagium campestre"
"823","Tridens muticus","Tridens muticus"
"824","Parietaria pensylvanica","Parietaria pensylvanica"
"825","Rubus aboriginum","Rubus aboriginum"
"826","Gaillardia pulchella","Gaillardia pulchella"
"827","Solidago ulmifolia","Solidago ulmifolia"
"828","Digitaria villosa","Digitaria villosa"
"829","Styphnolobium affine","Styphnolobium affine"
"830","Grindelia lanceolata","Grindelia lanceolata"
"831","Silphium albiflorum","Silphium albiflorum"
"832","Dalea candida","Dalea candida"
"833","Aristida purpurea","Aristida purpurea"
"834","Bifora americana","Bifora americana"
"835","Heliotropium tenellum","Heliotropium tenellum"
"836","Amphiachyris dracunculoides","Amphiachyris dracunculoides"
"837","Phyllanthus polygonoides","Phyllanthus polygonoides"
"838","Ratibida columnifera","Ratibida columnifera"
"839","Hedeoma drummondii","Hedeoma drummondii"
"840","Mimosa roemeriana","Mimosa roemeriana"
"841","Allium drummondii","Allium drummondii"
"842","Hypoxis hirsuta","Hypoxis hirsuta"
"843","Muhlenbergia reverchonii","Muhlenbergia reverchonii"
"844","Dyschoriste linearis","Dyschoriste linearis"
"845","Tridens albescens","Tridens albescens"
"846","Linum rigidum","Linum rigidum"
"847","Carex emoryi","Carex emoryi"
"848","Eupatorium altissimum","Eupatorium altissimum"
"849","Scutellaria drummondii","Scutellaria drummondii"
"850","Oenothera macrocarpa","Oenothera macrocarpa"
"851","Callirhoe pedata","Callirhoe pedata"
"852","Dalea multiflora","Dalea multiflora"
"853","Krameria lanceolata","Krameria lanceolata"
"854","Psoralidium tenuiflorum","Psoralidium tenuiflorum"
"855","Echinacea purpurea","Echinacea purpurea"
"856","Valerianella amarella","Valerianella amarella"
"857","Stillingia texana","Stillingia texana"
"858","Echinacea angustifolia","Echinacea angustifolia"
"859","Hymenopappus tenuifolius","Hymenopappus tenuifolius"
"860","Senna roemeriana","Senna roemeriana"
"861","Glandularia bipinnatifida","Glandularia bipinnatifida"
"862","Scutellaria resinosa","Scutellaria resinosa"
"863","Scutellaria wrightii","Scutellaria wrightii"
"864","Euphorbia longicruris","Euphorbia longicruris"
"865","Dalea tenuis","Dalea tenuis"
"866","Lesquerella engelmannii","Lesquerella engelmannii"
"867","Bouteloua dactyloides","Bouteloua dactyloides"
"868","Dalea hallii","Dalea hallii"
"869","Erioneuron pilosum","Erioneuron pilosum"
"870","Forestiera pubescens","Forestiera pubescens"
"871","Dyschoriste linearis","Dyschoriste linearis"
"872","Engelmannia peristenia","Engelmannia peristenia"
"873","Chamaesyce missurica","Chamaesyce missurica"
"874","Stenosiphon linifolius","Stenosiphon linifolius"
"875","Castilleja purpurea","Castilleja purpurea"
"876","Croton texensis","Croton texensis"
"877","Quercus fusiformis","Quercus fusiformis"
"878","Vitis mustangensis","Vitis mustangensis"
"879","Anemone berlandieri","Anemone berlandieri"
"880","Zanthoxylum clava-herculis","Zanthoxylum clava-herculis"
"881","Linum pratense","Linum pratense"
"882","Crotalaria sagittalis","Crotalaria sagittalis"
"883","Triodanis leptocarpa","Triodanis leptocarpa"
"884","Ulmus americana","Ulmus americana"
"885","Phlox roemeriana","Phlox roemeriana"
"886","Fuirena simplex","Fuirena simplex"
"887","Isoetes melanopoda","Isoetes melanopoda"
"888","Centaurium beyrichii","Centaurium beyrichii"
"889","Dysodiopsis tagetoides","Dysodiopsis tagetoides"
"890","Echinodorus tenellus","Echinodorus tenellus"
"891","Polygala alba","Polygala alba"
"892","Matelea biflora","Matelea biflora"
"893","Symphyotrichum drummondii","Symphyotrichum drummondii"
"894","Amsonia ciliata","Amsonia ciliata"
"895","Juniperus ashei","Juniperus ashei"
"896","Prunus gracilis","Prunus gracilis"
"897","Crotalaria ochroleuca","Crotalaria ochroleuca"
"898","Delphinium carolinianum","Delphinium carolinianum"
"899","Chasmanthium latifolium","Chasmanthium latifolium"
"900","Ulmus alata","Ulmus alata"
"901","Montia parvifolia","Montia parvifolia"
"902","Sisyrinchium idahoense","Sisyrinchium idahoense"
"903","Lonicera albiflora","Lonicera albiflora"
"904","Deiregyne confusa","Deiregyne confusa"
"905","Asclepias engelmanniana","Asclepias engelmanniana"
"906","Opuntia phaeacantha","Opuntia phaeacantha"
"907","Quercus shumardii","Quercus shumardii"
"908","Fraxinus albicans","Fraxinus albicans"
"909","Dalea tenuifolia","Dalea tenuifolia"
"910","Rhus trilobata","Rhus trilobata"
"911","Rhus aromatica","Rhus aromatica"
"912","Gaura sinuata","Gaura sinuata"
"913","Solanum elaeagnifolium","Solanum elaeagnifolium"
"914","Eragrostis pectinacea","Eragrostis pectinacea"
"915","Panicum coloratum","Panicum coloratum"
"916","Polygonum tenue","Polygonum tenue"
"917","Tridens congestus","Tridens congestus"
"918","Asclepias arenaria","Asclepias arenaria"
"919","Carex leavenworthii","Carex leavenworthii"
"920","Dicliptera sexangularis","Dicliptera sexangularis"
"921","Hypericum hypericoides","Hypericum hypericoides"
"922","Aloysia gratissima","Aloysia gratissima"
"923","Cyperus acuminatus","Cyperus acuminatus"
"924","Cyperus retrorsus","Cyperus retrorsus"
"925","Alopecurus carolinianus","Alopecurus carolinianus"
"926","Sedum pulchellum","Sedum pulchellum"
"927","Symphyotrichum patens","Symphyotrichum patens"
"928","Cynodon dactylon","Cynodon dactylon"
"929","Desmodium ciliare","Desmodium ciliare"
"930","Agalinis homalantha","Agalinis homalantha"
"931","Sophora nuttalliana","Sophora nuttalliana"
"932","Strophostyles helvola","Strophostyles helvola"
"933","Woodsia obtusa","Woodsia obtusa"
"934","Aegilops cylindrica","Aegilops cylindrica"
"935","Poa arachnifera","Poa arachnifera"
"936","Senna occidentalis","Senna occidentalis"
"937","Desmodium canescens","Desmodium canescens"
"938","Eragrostis curtipedicellata","Eragrostis curtipedicellata"
"939","Gutierrezia texana","Gutierrezia texana"
"940","Eriogonum annuum","Eriogonum annuum"
"941","Eragrostis secundiflora","Eragrostis secundiflora"
"942","Gaillardia amblyodon","Gaillardia amblyodon"
