"Quercus ×inconstans,"
"Croton monanthogynus,"
"Sarcosagium campestre,"
"Tridens muticus,"
"Parietaria pensylvanica,"
"Rubus aboriginum,"
"Gaillardia pulchella,"
"Solidago ulmifolia,"
"Digitaria villosa,"
"Styphnolobium affine,"
"Grindelia lanceolata,"
"Silphium albiflorum,"
"Dalea candida,"
"Aristida purpurea,"
"Bifora americana,"
"Heliotropium tenellum,"
"Amphiachyris dracunculoides,"
"Phyllanthus polygonoides,"
"Ratibida columnifera,"
"Hedeoma drummondii,"
"Mimosa roemeriana,"
"Allium drummondii,"
"Hypoxis hirsuta,"
"Muhlenbergia reverchonii,"
"Dyschoriste linearis,"
"Tridens albescens,"
"Linum rigidum,"
"Carex emoryi,"
"Eupatorium altissimum,"
"Scutellaria drummondii,"
"Oenothera macrocarpa,"
"Callirhoe pedata,"
"Dalea multiflora,"
"Krameria lanceolata,"
"Psoralidium tenuiflorum,"
"Echinacea purpurea,"
"Valerianella amarella,"
"Stillingia texana,"
"Echinacea angustifolia,"
"Hymenopappus tenuifolius,"
"Senna roemeriana,"
"Glandularia bipinnatifida,"
"Scutellaria resinosa,"
"Scutellaria wrightii,"
"Euphorbia longicruris,"
"Dalea tenuis,"
"Lesquerella engelmannii,"
"Bouteloua dactyloides,"
"Dalea hallii,"
"Erioneuron pilosum,"
"Forestiera pubescens,"
"Dyschoriste linearis,"
"Engelmannia peristenia,"
"Chamaesyce missurica,"
"Stenosiphon linifolius,"
"Castilleja purpurea,"
"Croton texensis,"
"Quercus fusiformis,"
"Vitis mustangensis,"
"Anemone berlandieri,"
"Zanthoxylum clava-herculis,"
"Linum pratense,"
"Crotalaria sagittalis,"
"Triodanis leptocarpa,"
"Ulmus americana,"
"Phlox roemeriana,"
"Fuirena simplex,"
"Isoetes melanopoda,"
"Centaurium beyrichii,"
"Dysodiopsis tagetoides,"
"Echinodorus tenellus,"
"Polygala alba,"
"Matelea biflora,"
"Symphyotrichum drummondii,"
"Amsonia ciliata,"
"Juniperus ashei,"
"Prunus gracilis,"
"Crotalaria ochroleuca,"
"Delphinium carolinianum,"
"Chasmanthium latifolium,"
